================================================================================
             HYDRO POWER PLANT WEATHER WARNING SYSTEM SUMMARY
================================================================================
Report Generated: 2026-07-18 22:40:00 IST
IMD Model Run Base Time (IST): 2026-07-18 05:30

SUMMARY STATISTICS:
  RED ALERT (High Risk)      : 0 plants
  YELLOW WATCH (Medium Risk) : 1 plants
  GREEN SAFE (Low Risk)      : 26 plants

--------------------------------------------------------------------------------
ACTIVE WARNINGS & ALERTS:
--------------------------------------------------------------------------------
[YELLOW] Siul (32.82418, 75.92323)
  - Heavy peak rainfall of 23.0 mm in 3h expected at 2026-07-22 02:30
  - 24h Rain: 0.6 mm | 48h Rain: 9.7 mm | Max Wind: 2.8 m/s

--------------------------------------------------------------------------------
ALL STATION FORECAST OVERVIEW:
--------------------------------------------------------------------------------
No. | Power Plant Name             | Lat      | Lon      | Status  | 24h Rain | Max Wind
--------------------------------------------------------------------------------
1   | Tanakpur                     | 29.8237  | 80.2833  | GREEN   | 0.0 mm   | 2.7 m/s 
2   | Subansiri Lower              | 28.2143  | 93.1341  | GREEN   | 3.2 mm   | 3.7 m/s 
3   | Teesta Low Dam IV            | 27.5365  | 88.4676  | GREEN   | 0.2 mm   | 3.2 m/s 
4   | Kishanganga (Project)        | 34.5784  | 74.6922  | GREEN   | 0.0 mm   | 4.5 m/s 
5   | Dibang (Project)             | 28.4427  | 95.8061  | GREEN   | 0.9 mm   | 1.9 m/s 
6   | Nimoo Bazgo                  | 32.7034  | 79.1826  | GREEN   | 0.0 mm   | 6.2 m/s 
7   | Chamera-I                    | 32.6314  | 76.0152  | GREEN   | 0.0 mm   | 3.9 m/s 
8   | Ranjit Sagar                 | 32.6208  | 75.7994  | GREEN   | 0.0 mm   | 3.8 m/s 
9   | Chamera-III                  | 32.4007  | 76.7039  | GREEN   | 2.9 mm   | 3.5 m/s 
10  | Chamera-II                   | 32.5075  | 76.2795  | GREEN   | 0.0 mm   | 3.8 m/s 
11  | Churi G&D                    | 32.4596  | 76.3626  | GREEN   | 0.0 mm   | 3.9 m/s 
12  | Baloo G&D                    | 32.5450  | 76.2108  | GREEN   | 0.0 mm   | 3.8 m/s 
13  | Baira                        | 32.8929  | 76.1772  | GREEN   | 0.0 mm   | 4.1 m/s 
14  | Bhaledh                      | 32.7114  | 76.3283  | GREEN   | 0.3 mm   | 3.7 m/s 
15  | Siul                         | 32.8242  | 75.9232  | YELLOW  | 0.6 mm   | 2.8 m/s 
16  | Surangani G&D                | 32.7255  | 76.1137  | GREEN   | 0.0 mm   | 4.0 m/s 
17  | Chutak                       | 34.1171  | 76.1453  | GREEN   | 0.0 mm   | 3.6 m/s 
18  | Dibang Catchment area        | 28.8233  | 95.9253  | GREEN   | 0.8 mm   | 4.2 m/s 
19  | Kishanganga (Catchment)      | 34.6107  | 75.0847  | GREEN   | 0.0 mm   | 4.2 m/s 
20  | Uri I                        | 34.0435  | 74.8227  | GREEN   | 0.0 mm   | 2.7 m/s 
21  | Uri II                       | 34.0857  | 74.1075  | GREEN   | 0.0 mm   | 3.4 m/s 
22  | Salal                        | 33.1168  | 76.2163  | GREEN   | 0.1 mm   | 4.4 m/s 
23  | Parbati-III                  | 31.7805  | 77.5020  | GREEN   | 2.2 mm   | 4.0 m/s 
24  | Parbati-II                   | 31.9833  | 77.6429  | GREEN   | 1.7 mm   | 4.1 m/s 
25  | Jiwa                         | 31.8653  | 77.4779  | GREEN   | 0.5 mm   | 4.0 m/s 
26  | Jigrai                       | 31.9458  | 77.4617  | GREEN   | 0.8 mm   | 4.1 m/s 
27  | Hurla                        | 31.8980  | 77.3876  | GREEN   | 0.1 mm   | 3.8 m/s 
================================================================================
